id,date_time,result,place,round,team1,team2,winner,tournament_name
1,2019-08-24 06:20:00,2:1,China,Upper-Bracket Final,OG1,PSG1,OG1,TI9
2,2019-08-25 05:20:00,2:1,China,Lower-Bracket  Final,TL1,PSG1,TL1,TI9
3,2019-08-25 10:00:00,3:1,China,Grand Final,OG1,TL1,OG1,TI9
4,2021-10-16 12:00:00,2:0,Romania ,Upper-Bracket Final,PSG2,TSC2,PSG2,TI10
5,2021-10-15 09:00:00,2:0,Romania ,Lower-Bracket Preliminary,TSP1,OG2,TSP1,TI10
6,2021-10-17 09:00:00,2:1,Romania ,Lower-Bracket Final,TSP1,TSC2,TSP1,TI10
7,2019-08-24 10:15:00,2:0,China,Lower-Bracket Semi Final,TL1,TSC1,TL1,TI9
8,2021-10-14 16:45:00,2:0,Romania ,Upper-Bracket Semi Final,TSC2,IG1,TSC2,TI10
